Station_ID,Station_Name,Go_live_date,Region,Status
4156,Madison & Walnut,7/14/2017,Pasadena,Inactive
4157,Lake & Del Mar,7/14/2017,Pasadena,Inactive
4158,Lake & California,7/14/2017,Pasadena,Inactive
4159,Pasadena City College,7/14/2017,Pasadena,Inactive
4160,Fillmore Station,7/14/2017,Pasadena,Inactive
4162,Memorial Park Station,7/14/2017,Pasadena,Inactive
4163,Lake & Locust,7/14/2017,Pasadena,Inactive
4164,Allen Station,7/14/2017,Pasadena,Inactive
4165,Del Mar Station,7/14/2017,Pasadena,Inactive
4166,Colorado & Hill,7/14/2017,Pasadena,Inactive
4167,Pasadena & Dayton,7/14/2017,Pasadena,Inactive
4169,Oakland & Union,7/14/2017,Pasadena,Inactive
4170,Lake & Merrett,7/14/2017,Pasadena,Inactive
4174,Fair Oaks & Hammond,7/14/2017,Pasadena,Inactive
4176,Caltech East,7/14/2017,Pasadena,Inactive
4177,Madison & Colorado,7/14/2017,Pasadena,Inactive
4180,Caltech West,7/21/2017,Pasadena,Inactive
4181,Oak Knoll & Colorado,7/14/2017,Pasadena,Inactive
4183,Catalina & Colorado,7/14/2017,Pasadena,Inactive
4194,Union Station East,7/25/2017,DTLA,Inactive
4202,Abbot Kinney & Cadiz,7/7/2017,Venice,Active
4204,Washington & Abbot Kinney,7/7/2017,Venice,Active
4205,Venice & Lincoln,7/7/2017,Venice,Active
4206,California & Lincoln,7/7/2017,Venice,Active
4207,Rose & 7th,7/7/2017,Venice,Active
4208,Rose & Rennie,7/7/2017,Venice,Active
4209,Rose & Main,7/7/2017,Venice,Active
4210,Ocean Front Walk & North Venice,7/7/2017,Venice,Active
4211,Pacific & North Venice,7/7/2017,Venice,Active
4212,Windward & Main,7/7/2017,Venice,Active
4213,7th & Westminster,7/7/2017,Venice,Active
4214,Ocean Front Walk & Navy,7/7/2017,Venice,Active
4215,Downtown Santa Monica Expo Line Station,7/7/2017,Venice,Active
4216,17th St / SMC Expo Line Station,7/7/2017,Venice,Active
4217,Venice & Abbot Kinney,7/7/2017,Venice,Inactive
4220,Park & Echo Park,9/28/2017,DTLA,Active
4227,Grand/LATTC,12/15/2017,DTLA,Inactive
4244,Expo Park/USC Station,6/28/2018,DTLA,Inactive
4245,University & Hoover,7/8/2018,DTLA,Active
4246,32nd & Figueroa,7/3/2018,DTLA,Active
4248,29th & Ellendale,7/2/2018,DTLA,Active
4249,Figueroa & McCarthy Way,6/29/2018,DTLA,Active
4250,Severance & Adams,7/9/2018,DTLA,Active
4254,Hoover & 29th,6/28/2018,DTLA,Active
4267,28th & University,8/23/2018,DTLA,Active
4273,Hoover & 32nd,10/8/2018,DTLA,Active
